,1RM,Øvelseskategori,Dag/Øvelse,Sett,Reps,RPE,-,RPE_h,%,Vekt,-,0,Kommentar
,,,Dag 1,,,,,,,,,,
,,,benkpress,1,6,,-,,,60,,0,Uke 2
,,,benkpress,1,6,,-,,,80,,0,
,,,Lying Tricep Extension,1,20,,-,,,8,,0,
,,,Lying Tricep Extension,2,20,,-,,,8,,0,
,,,Lying Tricep Extension,3,20,,-,,,8,,0,
,,,Triceps i maskin,1,8,,-,,,50,,0,
,,,Triceps i maskin,1,8,,-,,,50,,0,dropset
,,,Triceps i maskin,1,8,,-,,,35,,0,dropset
,,,benkpress,1,4,5,-,5,"75,00%",87.5,,0,
,,,benkpress,1,3,7,-,7,"81,00%",92.5,,0,
,,,benkpress,1,2,8,-,8,"86,00%",100,,0,
,,,benkpress,1,3,6,-,6,"77,00%",87.5,,0,
,,,benkpress,2,3,6,-,6,"77,00%",87.5,,0,
